Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","102","Iran (République islamique d')","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","72845.542","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","103","Iraq","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","29111.417","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","104","Irlande","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4489.589","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","99","Islande","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","310.884","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","105","Israël","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","7097.41","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","106","Italie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","59502.385","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","109","Jamaïque","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2790.122","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","110","Japon","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","128550.508","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","112","Jordanie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6489.822","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","108","Kazakhstan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","16001.176","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","114","Kenya","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","39148.416","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","113","Kirghizistan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","5262.294","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","83","Kiribati","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","98.44","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","118","Koweït","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2652.34","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","122","Lesotho","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1999.93","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","119","Lettonie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2171.881","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","121","Liban","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4111.047","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","123","Libéria","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3662.993","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","124","Libye","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6053.078","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","125","Liechtenstein","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","35.541","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","126","Lituanie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3214.627","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","256","Luxembourg","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","485.105","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","154","Macédoine du Nord","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2067.378","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
